Nudge,R,t,Mental,Temporal,Performance,Frustration,FDR,FOR,BA
neutral,62,37,3,-1,2,2,0.214285714285714,0.0102040816326531,0.947596153846154
neutral,50,60,0,0,3,1,0.281818181818182,0.00354609929078014,0.944070512820513
neutral,37,6,0,-2,0,0,0.447154471544715,0.0446096654275093,0.836858974358974
neutral,85,16,0,-3,1,-3,0.173333333333333,0.056782334384858,0.866666666666667
neutral,76,30,-2,0,2,-2,0.0952380952380952,0.012987012987013,0.962179487179487
neutral,70,24,1,-1,0,0,0.111111111111111,0,0.983974358974359
neutral,50,21,2,1,-1,1,0.336363636363636,0.024822695035461,0.896955128205128
neutral,69,41,1,-2,2,1,0.164835164835165,0.0132890365448505,0.950961538461538
neutral,64,15,1,0,3,0,0.1875,0.00675675675675676,0.958653846153846
neutral,64,21,1,0,1,1,0.166666666666667,0,0.974358974358974
neutral,73,10,1,-2,1,0,0.137931034482759,0.0163934426229508,0.949519230769231
neutral,80,60,1,-2,1,1,0.1125,0.0288461538461538,0.929326923076923
neutral,71,25,1,-1,3,-2,0.112359550561798,0.0033003300330033,0.977724358974359
neutral,86,15,-2,-3,2,-1,0.0675675675675676,0.0345911949685535,0.923237179487179
neutral,65,7,0,1,0,-3,0.294736842105263,0.0437710437710438,0.873878205128205
neutral,66,15,0,1,2,0,0.24468085106383,0.0302013422818792,0.906891025641026
neutral,70,16,2,1,0,2,0.255555555555556,0.043046357615894,0.881891025641026
neutral,56,19,1,-2,2,-3,0.288461538461538,0.0208333333333333,0.914423076923077
reject,81,18,-3,3,2,1,0.0886075949367089,0.0255591054313099,0.938782051282051
reject,72,32,3,1,-3,2,0.181818181818182,0.0263157894736842,0.924358974358974
reject,72,58,-2,-2,0,-3,0.136363636363636,0.0131578947368421,0.955769230769231
reject,76,14,-3,-3,3,-3,0.107142857142857,0.0162337662337662,0.954326923076923
reject,72,9,-2,-3,3,-2,0.113636363636364,0.00657894736842105,0.971474358974359
reject,76,12,-3,-2,2,-2,0.119047619047619,0.0194805194805195,0.946474358974359
reject,68,32,-1,1,0,-1,0.184782608695652,0.0166666666666667,0.94150641025641
